Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Rainfall(mm),Snowfall (cm),Seasons,Holiday,hour diff,Functioning Day,rental_cnt
4,19.7,26,4.63,10000.0,-0.28,0.0,0.0,1,1,55324.0,1,646
0,1.43,86,0.57,9150.339366515836,-0.57,0.0,0.0,1,1,54816.0,1,1547
8,12.95,26,5.14,10000.0,-5.4,0.0,0.0,1,1,55088.0,1,10356
19,-2.19,69,1.54,10000.0,-6.55,0.0,0.0,1,1,54979.0,1,3475
15,5.14,42,3.52,9150.339366515836,-5.96,0.0,0.0,1,1,55167.0,1,6956
15,4.3,76,3.19,9150.339366515836,0.45,0.0,0.0,1,1,55071.0,1,5389
14,5.34,70,2.57,10000.0,0.32,0.0,0.0,1,1,54878.0,1,3850
2,6.23,24,2.06,10000.0,-11.46,0.0,0.0,1,1,54842.0,1,469
9,11.2,66,1.54,10000.0,5.09,0.0,0.0,1,1,55113.0,1,5426
16,4.2,75,3.09,10000.0,0.17,0.0,0.0,1,1,54880.0,1,6015
0,3.49,60,3.09,10000.0,-3.13,0.0,0.0,1,1,55008.0,1,1357
23,1.88,76,2.17,9150.339366515836,-1.67,0.0,0.0,1,1,55007.0,1,1632
5,-1.27,31,7.72,10000.0,-14.66,0.0,0.0,1,0,54773.0,1,539
23,-5.21,54,3.6,10000.0,-12.22,0.0,0.0,1,0,54791.0,1,1134
8,6.64,45,5.66,10000.0,-3.93,0.0,0.0,1,1,54920.0,1,9811
3,7.12,23,1.03,10000.0,-11.25,0.0,0.0,1,1,54987.0,1,623
9,11.2,66,1.54,10000.0,5.09,0.0,0.0,1,1,55113.0,1,5426
16,10.84,62,1.03,10000.0,3.86,0.0,0.0,1,1,55336.0,1,11479
9,11.2,66,1.54,10000.0,5.09,0.0,0.0,1,1,55113.0,1,5426
6,21.5,23,2.57,10000.0,-0.43,0.0,0.0,1,1,55326.0,1,876
0,4.27,48,6.69,10000.0,-5.11,0.0,0.0,1,1,55224.0,1,1600
7,10.67,37,6.17,10000.0,-3.02,0.0,0.0,1,1,55063.0,1,7085
23,7.23,71,1.54,10000.0,2.33,0.0,0.0,1,1,55511.0,1,2493
10,6.16,45,2.57,10000.0,-4.32,0.0,0.0,1,1,54850.0,1,3436
