,Hour,dayofweek,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Rainfall(mm),Snowfall (cm),hour diff,isWeekend,Holiday,weather_Clouds,weather_Drizzle,weather_Dust,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Snow,weather_Thunderstorm,rental_cnt
577,23,2,28.85,79,5.14,10000.0,24.84,0.0,0.0,58943.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3201
578,22,0,26.68,94,1.03,10000.0,25.63,0.6,0.0,58558.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5142
579,21,4,26.6,100,0.51,8000.0,26.6,0.0,0.0,58821.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7604
580,18,3,26.39,94,3.6,10000.0,25.35,0.18,0.0,58962.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11012
581,10,2,29.32,84,1.63,9150.339366515836,26.33,0.17,0.0,58762.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4061
582,15,1,26.79,100,2.57,10000.0,26.79,0.0,0.0,58575.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4426
583,0,4,28.56,84,1.03,10000.0,25.59,0.0,0.0,58632.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2872
584,16,4,25.57,100,2.06,7000.0,25.57,0.0,0.0,58984.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7313
585,3,4,31.51,55,2.06,10000.0,21.37,0.2,0.0,58803.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,843
586,15,5,27.6,94,1.54,10000.0,26.55,0.0,0.0,58671.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5429
587,3,2,30.6,48,3.6,10000.0,18.34,0.0,0.0,59091.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,953
588,4,1,34.28,52,4.12,10000.0,23.01,0.0,0.0,58900.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871
589,2,4,30.2,79,5.14,10000.0,26.15,0.0,0.0,58466.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1295
590,4,4,32.02,49,2.06,10000.0,19.97,0.0,0.0,58636.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821
591,2,2,33.1,62,1.54,10000.0,24.84,0.0,0.0,58754.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1195
592,21,6,26.06,97,3.09,10000.0,25.55,0.0,0.0,58869.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4692
593,5,4,32.91,67,1.36,9150.339366515836,25.96,0.0,0.0,58637.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1867
